,query,region,title,excerpt,date,source,link
20,semiconductor,china,China’s Chip-Independence Goals Helped by U.S.-Developed Tech,"New approach to semiconductors, developed partly with the Pentagon's 
backing, could threaten Intel and Arm's dominance. Alibaba developed 
what ...",11 Jan 2021,The Wall Street Journal,https://www.wsj.com/articles/chinas-chip-independence-goals-helped-by-u-s-developed-tech-11610375472
21,semiconductor,china,"Tencent invests in Chinese A.I. chip start-up as part of $279 million 
funding round","It comes as Beijing pushes for more self-reliance in semiconductors amid 
rivalries between the U.S. and China that have spilt into the ...",5 Jan 2021,CNBC,https://www.cnbc.com/2021/01/06/tencent-invests-in-chinese-ai-chip-start-up-enflame.html
22,semiconductor,china,15 Biggest Semiconductor Companies in the World,"China is the largest importer of semiconductors in the world. The US has 
repeatedly used semiconductors as a lever against China.",6 Jan 2021,Yahoo Finance,https://finance.yahoo.com/news/15-biggest-semiconductor-companies-world-183721644.html
23,semiconductor,china,Huawei ramps up chip investment in fight for survival,"TAIPEI -- China's Huawei Technologies is ramping up investment in local 
chip companies to plug holes in its semiconductor supply chain ...",13 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Spotlight/Huawei-crackdown/Huawei-ramps-up-chip-investment-in-fight-for-survival
24,semiconductor,china,China to ramp up IC supply as semiconductor demand surges ...,"China's industry watchdog said they will support companies from both home 
and abroad in ramping up investment to aid continued improvement in ...",26 Jan 2021,Global Times,https://www.globaltimes.cn/page/202101/1214008.shtml
25,semiconductor,china,China's top maker of memory chips plans to double output in ...,"TAIPEI -- Top Chinese memory chip maker Yangtze Memory ... China's 
ambitions to create a full-fledged domestic semiconductor supply chain.",12 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/China-tech/China-s-top-maker-of-memory-chips-plans-to-double-output-in-2021
26,semiconductor,china,Chip industry group urges Biden admin to review export controls on China,"Latest US export controls further hamstring China's semiconductor 
ambitions. The letter criticises the Trump administration for 
implementing ...",26 Jan 2021,South China Morning Post,https://www.scmp.com/tech/policy/article/3119230/chip-industry-group-urges-biden-admin-review-export-controls-china
27,semiconductor,china,Japan chip suppliers reap benefits of 'China exit' subsidy,"TOKYO -- Suppliers to the semiconductor industry are among a wave of 
Japanese companies that have used government money to boost their ...",25 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Economy/Trade/Japan-chip-suppliers-reap-benefits-of-China-exit-subsidy
28,semiconductor,china,TSMC gears up for mass production of 3-nm chips for high-end devices,"Taiwan Semiconductor Manufacturing Co (TSMC), the world's biggest ... ties 
to the Chinese military – a charge that the company denies.",18 Jan 2021,South China Morning Post,https://www.scmp.com/tech/innovation/article/3118183/tsmc-gears-mass-production-3-nanometre-chips-high-end-computers-and
29,semiconductor,china,"Here's what's in store for Marvell Technology, Qualcomm and other 
semiconductor companies this year","Semiconductors were hot in 2020 as the main stock sector index rose ... in 
China's efforts to grow its chipmaking and development in 2021.",5 Jan 2021,MarketWatch,https://www.marketwatch.com/story/heres-whats-in-store-for-marvell-technology-qualcomm-and-other-semiconductor-companies-this-year-11609875720
30,semiconductor,china,"How A Con Man With Primary Education Defrauded Billions Out Of A Wuhan Chip 
Project","In a rush to pump up China's chip sector, local Chinese ... fraud case is 
Wuhan Hongxin Semiconductor Manufacturing Corporation (HSMC), ...",29 Jan 2021,China Money Network,https://www.chinamoneynetwork.com/2021/01/29/how-a-con-man-with-primary-education-defrauded-billions-out-of-a-wuhan-chip-project
31,semiconductor,china,Bloomberg,"But, for a long time, the Chinese government has endeavored to build a 
successful homegrown and world-leading chip industry. On this episode, 
we ...",27 Jan 2021,Bloomberg,https://www.bloomberg.com/news/audio/2021-01-27/china-s-mission-to-be-the-leader-in-semiconductors-podcast
32,semiconductor,china,Can Huawei replicate its success in smartphones in smart vehicles?,"... smart vehicles as US sanctions stymie 5G and semiconductor ambitions 
... Chinese tech giant Huawei Technologies Co, facing US sanctions ...",24 Jan 2021,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3118839/huawei-moves-smart-vehicles-us-sanctions-stymie-5g-and-semiconductor
33,semiconductor,china,VC Roundup: Chinese tech firms are betting on chips,"Funding China's semiconductor industry also underscores tech giants' 
concerns about being cut off from the global semiconductor supply chain ...",28 Jan 2021,TechNode,https://technode.com/2021/01/28/chinese-tech-firms-are-betting-on-semiconductors/
34,semiconductor,china,A year of poor planning led to carmaker’s massive chip shortage,"... at Taiwan Semiconductor Manufacturing (TSMC) and other contract chip 
... administration blacklisting China's Semiconductor Manufacturing ...",20 Jan 2021,South China Morning Post,https://www.scmp.com/business/companies/article/3118467/how-did-worlds-carmakers-run-out-chips-it-was-year-bad-planning
35,semiconductor,china,Missing Chips Snarl Car Production at Factories Worldwide,"Semiconductor shortages may persist throughout the first half as ... to 
blacklist China's Semiconductor Manufacturing International Corp. in ...",11 Jan 2021,Bloomberg.com,https://www.bloomberg.com/news/articles/2021-01-11/missing-chips-snarl-car-production-at-factories-worldwide
36,semiconductor,china,Foreign dependence the Achilles' heel in China's giant tech ...,"China's reliance on foreign tech goes far beyond semiconductors. In the 
automotive sector, where China is now the world's largest auto market in ...",31 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Opinion/Foreign-dependence-the-Achilles-heel-in-China-s-giant-tech-sector
37,semiconductor,china,Drawing the curtain on China–Israel cooperation?,"Israel's semiconductor industry saw exports to China increase by 80 per 
cent in 2018. As the United States closed the door to Chinese tech ...",26 Jan 2021,East Asia Forum,https://www.eastasiaforum.org/2021/01/26/drawing-the-curtain-on-china-israel-cooperation/
38,semiconductor,china,Global chip shortage threatens automakers worldwide,"... that it would cut production in China, North America and Europe. ... 
Semiconductor companies are struggling to meet the surge in demand ...",9 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Automobiles/Global-chip-shortage-threatens-automakers-worldwide
39,semiconductor,china,"Analysis: China's would-be chip darling Tsinghua Unigroup bedevilled by 
debt and bad bets","SHANGHAI (Reuters) - Tsinghua Unigroup, a Chinese conglomerate that has 
long sought to become a semiconductor powerhouse, is now caught ...",19 Jan 2021,Reuters,https://www.reuters.com/article/us-tsinghua-unigroup-strategy-analysis-idUSKBN29P0C2
40,semiconductor,china,China to build $300bn electronics parts sector in break with US,"BEIJING -- The Chinese government on Friday announced plans to expand ... 
China is already working on boosting semiconductor output in light ...",30 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/China-tech/China-to-build-300bn-electronics-parts-sector-in-break-with-US
41,semiconductor,china,Chinese bargain hunters pile into stocks blacklisted by Trump,"Other blacklisted stocks, including railway equipment maker CRRC Corp, 
China Communications Construction Co and semiconductor giant SMIC ...",7 Jan 2021,Reuters,https://www.reuters.com/article/us-china-usa-bargainhunt/chinese-bargain-hunters-pile-into-stocks-blacklisted-by-trump-idUKKBN29D0JE
42,semiconductor,china,The world is dangerously dependent on Taiwan for chips,"As China pushes the world to avoid official dealings with Taiwan, ... That 
is mostly down to Taiwan Semiconductor Manufacturing Co, ...",27 Jan 2021,Taipei Times,https://www.taipeitimes.com/News/editorials/archives/2021/01/27/2003751278
43,semiconductor,china,FTSE Russell cuts three more China firms from indexes after U.S. blacklist,"China United Network Communications, Semiconductor Manufacturing 
International Corporation (SMIC) and Nanjing Panda Electronics will be ...",4 Jan 2021,Reuters,https://www.reuters.com/article/us-usa-china-indexes/ftse-russell-cuts-three-more-china-firms-from-indexes-after-u-s-blacklist-idUKKBN29911R
44,semiconductor,china,Chip Shortage Will Continue to Disrupt Auto Production in ...,"Semiconductor chip shortage issues will continue to disrupt China's 
production of automobiles in the coming months, the China Association of ...",14 Jan 2021,Caixin Global,https://www.caixinglobal.com/2021-01-14/chip-shortage-will-continue-to-disrupt-auto-production-in-china-industry-warns-101650847.html
45,semiconductor,china,China's MEMSIC Semiconductor raises over $154.3m in ...,"MEMSIC Semiconductor, a China-based firm that develops semiconductor 
sensors for clients like Google and Samsung, announced on Monday the ...",26 Jan 2021,DealStreetAsia,https://www.dealstreetasia.com/stories/memsic-funding-225152/
46,semiconductor,china,Honda cuts car production on massive chip shortage,"The auto market began staging a comeback last summer, especially in China. 
But semiconductor production capacity has been unable to keep ...",8 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Business/Automobiles/Honda-cuts-car-production-on-massive-chip-shortage
47,semiconductor,china,China Unveils First 7nm Chip: Big Island [Gpgpu],"Shanghai Tianshu Zhixin Semiconductor Co. is claiming China's first 
7-nanometer chip, described as a leading-edge, general-purpose cloud ...",22 Jan 2021,HPCwire,https://www.hpcwire.com/2021/01/22/china-unveils-first-7nm-chip-big-island/
48,semiconductor,china,Tech to remain a tug-of-war between China and US in 2021,"It should also retain pole-position in the race for the world's first 
sovereign digital currency. Achieving self-sufficiency in semiconductors ...",3 Jan 2021,South China Morning Post,https://www.scmp.com/tech/big-tech/article/3116104/tech-remain-tug-war-between-china-and-us-2021-biden-seen-roping
49,semiconductor,china,Dongfeng-backed chip producer to mass produce power ...,"There are only three companies in China capable of researching, developing 
and manufacturing automotive power semiconductor modules, ...",22 Jan 2021,Gasgoo,https://autonews.gasgoo.com/china_news/70017930.html
50,semiconductor,china,"Huawei to pack less of a punch in the new year after bruising 2020, 
analysts say","SHENZHEN, China (Reuters) - Huawei Technologies Co Ltd this year will 
likely ... such as Taiwan Semiconductor Manufacturing Co Ltd (TSMC).",5 Jan 2021,Reuters,https://www.reuters.com/article/us-huawei-tech-idUSKBN29B0QV
51,semiconductor,china,China's BYD builds sleek concept car factory,"The Chinese automaker's semiconductor business will be given a road test in 
public markets soon. The company also produces batteries, ...",26 Jan 2021,Reuters,https://www.reuters.com/article/us-byd-sharesale-breakingviews-idUSKBN29W09K
52,semiconductor,china,"The Ball Of De-Americanization Starts Rolling As China Seeks Secure Supply 
Chains","There were 413 equity investment cases in the domestic semiconductor 
industry in 2020, with an investment amount of more than RMB140 billion ...",19 Jan 2021,China Money Network,https://www.chinamoneynetwork.com/2021/01/19/the-ball-of-de-americanization-starts-rolling-as-china-seeks-secure-supply-chains
53,semiconductor,china,Taiwan manufacturers quit China over trade tensions and rising costs,"Hwa Meei is not an outlier. Hundreds of thousands of Taiwanese enterprises 
are bidding farewell to China because of rising costs and trade ...",10 Jan 2021,Financial Times,https://www.ft.com/content/5b78a04d-e51d-45d8-b276-2bbf9b11bed2
54,semiconductor,china,ASML CEO sees U.S.-China trade antagonism outlasting Trump,"AMSTERDAM (Reuters) - ASML CEO Peter Wennink expects further antagonism 
between the United States and China over semiconductor technology, ...",14 Jan 2021,Reuters,https://www.reuters.com/article/us-asml-ceo-idUSKBN29J1OJ
55,semiconductor,china,Biden’s commerce secretary pick backs tariffs and export limits on China,"“China's actions have been anticompetitive, hurtful to American workers and 
... Other Chinese companies on the list include Semiconductor ...",27 Jan 2021,South China Morning Post,https://www.scmp.com/news/china/diplomacy/article/3119369/bidens-commerce-secretary-nominee-backs-use-tariffs-and-export
56,semiconductor,china,China Played Its Hand Well in 2020. Will It Keep Winning?,"A researcher in a semiconductor lab in Beijing, May 26, 2020. Intel, the 
leading U.S. semiconductor chip maker, has invested in Chinese chip ...",22 Jan 2021,The Wall Street Journal,https://www.wsj.com/articles/china-played-its-hand-well-in-2020-will-it-keep-winning-11611331354
57,semiconductor,china,"Former Google CEO and others want action on ‘asymmetric competition’ from 
China","... Report calls for determined action to tackle tech competition with 
China and says a certain amount of 'bifurcation' is inevitable.",27 Jan 2021,South China Morning Post,https://www.scmp.com/tech/article/3119484/us-china-tech-war-former-google-chief-and-others-call-action-handle-asymmetric
58,semiconductor,china,US and China lock horns over Taiwan in first week of Biden era,"WASHINGTON/TAIPEI -- U.S.-China relations are off to a rough start in the 
Joe Biden era, ... led by Taiwan Semiconductor Manufacturing Co., ...",25 Jan 2021,Nikkei Asia,https://asia.nikkei.com/Politics/International-relations/US-China-tensions/US-and-China-lock-horns-over-Taiwan-in-first-week-of-Biden-era
